,OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
0,2022-08-10 10:00:00,23151.32000000,23151.32000000,23043.18000000,23088.19000000,1580.10843000,2022-08-10 10:14:59.999,36493117.84418090,53754,708.94275000,16373132.88852430,0
1,2022-08-10 10:15:00,23088.19000000,23102.13000000,23014.33000000,23038.61000000,1175.88862000,2022-08-10 10:29:59.999,27104704.50185330,46064,574.39716000,13239784.29279210,0
2,2022-08-10 10:30:00,23037.79000000,23042.05000000,22664.69000000,22763.40000000,4860.74930000,2022-08-10 10:44:59.999,110964988.29670670,121967,1907.43919000,43528164.11756940,0
3,2022-08-10 10:45:00,22761.38000000,22791.20000000,22691.22000000,22771.87000000,2778.98659000,2022-08-10 10:59:59.999,63229584.33316550,83849,1448.17082000,32952194.70236000,0
4,2022-08-10 11:00:00,22771.87000000,22880.00000000,22761.11000000,22868.96000000,2028.48418000,2022-08-10 11:14:59.999,46299451.27955650,72351,1093.82414000,24967274.25151320,0
5,2022-08-10 11:15:00,22867.83000000,22949.09000000,22847.33000000,22925.86000000,1637.41472000,2022-08-10 11:29:59.999,37501256.83135030,60587,874.08516000,20018927.84781890,0
6,2022-08-10 11:30:00,22927.02000000,22927.02000000,22830.70000000,22834.33000000,1501.37758000,2022-08-10 11:44:59.999,34354636.17843340,50882,685.29094000,15681536.34100540,0
7,2022-08-10 11:45:00,22834.33000000,22899.99000000,22830.00000000,22886.25000000,1243.53611000,2022-08-10 11:59:59.999,28441271.53786490,44152,647.92905000,14819270.70299240,0
8,2022-08-10 12:00:00,22885.90000000,22920.18000000,22851.25000000,22866.16000000,1156.46237000,2022-08-10 12:14:59.999,26467413.51384750,40853,529.84182000,12127276.61129940,0
9,2022-08-10 12:15:00,22867.55000000,22885.94000000,22760.00000000,22837.41000000,1849.87613000,2022-08-10 12:29:59.999,42229931.43108080,55160,879.85132000,20086194.94474480,0
10,2022-08-10 12:30:00,22837.41000000,22855.00000000,22781.90000000,22846.00000000,1327.42406000,2022-08-10 12:44:59.999,30284856.00936170,52218,671.08681000,15311078.03655080,0
