,OpenTime,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,CloseTime,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
0,2022-10-10 10:00:00,19439.96000000,19440.59000000,19407.83000000,19425.81000000,1509.92144000,2022-10-10 10:14:59.999,29328905.33949040,37687,749.10751000,14551207.05958230,0
1,2022-10-10 10:15:00,19425.29000000,19457.21000000,19401.00000000,19413.55000000,1603.93627000,2022-10-10 10:29:59.999,31167419.35334770,37548,810.72261000,15754353.23355760,0
2,2022-10-10 10:30:00,19414.17000000,19475.97000000,19403.83000000,19466.17000000,1474.47349000,2022-10-10 10:44:59.999,28655137.04246890,37502,790.84535000,15370693.00472850,0
3,2022-10-10 10:45:00,19466.17000000,19521.58000000,19462.00000000,19491.42000000,2479.69941000,2022-10-10 10:59:59.999,48335292.49871010,57508,1266.08712000,24680107.22239590,0
4,2022-10-10 11:00:00,19491.42000000,19521.84000000,19491.20000000,19496.59000000,1995.48412000,2022-10-10 11:14:59.999,38924277.30252410,45624,1031.28823000,20117510.87938840,0
5,2022-10-10 11:15:00,19496.59000000,19507.21000000,19466.72000000,19503.69000000,1802.12993000,2022-10-10 11:29:59.999,35126453.02355790,36380,875.72200000,17070096.45934610,0
6,2022-10-10 11:30:00,19503.45000000,19517.03000000,19483.74000000,19508.68000000,1514.95683000,2022-10-10 11:44:59.999,29542442.07889120,33896,753.46992000,14693618.51698520,0
7,2022-10-10 11:45:00,19508.68000000,19525.00000000,19494.50000000,19501.43000000,1141.49902000,2022-10-10 11:59:59.999,22272156.87837540,27083,531.09948000,10362824.97554040,0
8,2022-10-10 12:00:00,19501.43000000,19502.60000000,19470.23000000,19479.32000000,1375.67376000,2022-10-10 12:14:59.999,26806591.04995120,29683,670.06150000,13057365.06024160,0
9,2022-10-10 12:15:00,19478.39000000,19486.48000000,19451.00000000,19477.61000000,1486.90247000,2022-10-10 12:29:59.999,28953030.37652170,36336,699.00572000,13611410.57502430,0
