,OpenTime,DOGE-USD_Open,DOGE-USD_High,DOGE-USD_Low,DOGE-USD_Close,DOGE-USD_Volume,CloseTime,DOGE-QuoteAssetVolume,DOGE-NumberOfTrades,DOGE-TBBAV,DOGE-TBQAV,DOGE-ignore
0,2022-08-10 10:00:00,0.06902000,0.06904000,0.06878000,0.06899000,8432394.00000000,2022-08-10 10:14:59.999,580959.39019000,1264,3895635.00000000,268347.74563000,0
1,2022-08-10 10:15:00,0.06900000,0.06908000,0.06838000,0.06842000,11158469.00000000,2022-08-10 10:29:59.999,766007.66042000,1703,6461597.00000000,443505.25832000,0
2,2022-08-10 10:30:00,0.06841000,0.06841000,0.06649000,0.06736000,66915577.00000000,2022-08-10 10:44:59.999,4506877.95929000,9977,27829737.00000000,1875420.74817000,0
3,2022-08-10 10:45:00,0.06733000,0.06752000,0.06702000,0.06747000,14524649.00000000,2022-08-10 10:59:59.999,978055.73154000,3059,6451342.00000000,434354.75433000,0
4,2022-08-10 11:00:00,0.06747000,0.06795000,0.06742000,0.06795000,10697861.00000000,2022-08-10 11:14:59.999,724670.96483000,2811,5036678.00000000,341093.19507000,0
5,2022-08-10 11:15:00,0.06794000,0.06822000,0.06785000,0.06816000,17946848.00000000,2022-08-10 11:29:59.999,1221684.36911000,2747,8292000.00000000,564467.80792000,0
6,2022-08-10 11:30:00,0.06817000,0.06817000,0.06795000,0.06795000,8898962.00000000,2022-08-10 11:44:59.999,605510.03326000,1176,4497177.00000000,306026.32961000,0
7,2022-08-10 11:45:00,0.06794000,0.06817000,0.06794000,0.06801000,3887841.00000000,2022-08-10 11:59:59.999,264713.98491000,711,1665627.00000000,113405.44949000,0
8,2022-08-10 12:00:00,0.06800000,0.06812000,0.06794000,0.06797000,5132299.00000000,2022-08-10 12:14:59.999,349179.74659000,895,3144807.00000000,213976.26141000,0
9,2022-08-10 12:15:00,0.06796000,0.06796000,0.06742000,0.06769000,7864544.00000000,2022-08-10 12:29:59.999,532690.71973000,1405,3421825.00000000,231627.02864000,0
10,2022-08-10 12:30:00,0.06768000,0.06776000,0.06732000,0.06771000,6198709.00000000,2022-08-10 12:44:59.999,418855.58478000,1151,2180232.00000000,147306.52558000,0
